Data,Nowe przypadki,Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,Suma potwierdzonych przypadków,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków
2020-12-23,+ 12361,+ 472,+ 10906,+ 11378,+ 983,1226718,26255,965178,991433,235285
2020-12-24,+ 13115,+ 497,+ 10698,+ 11195,+ 1920,1239833,26752,975876,1002628,237205
2020-12-25,+ 9077,+ 240,+ 8807,+ 9047,+ 30,1248910,26992,984683,1011675,237235
2020-12-26,+ 5048,+ 69,+ 7698,+ 7767,-2 719,1253958,27061,992381,1019442,234516
2020-12-27,+ 3678,+ 57,+ 7229,+ 7286,-3 608,1257636,27118,999610,1026728,230908
2020-12-28,+ 3211,+ 29,+ 5766,+ 5795,-2 584,1260847,27147,1005376,1032523,228324
2020-12-29,+ 7914,+ 307,+ 8629,+ 8936,-1 022,1268761,27454,1014005,1041459,227302
2020-12-30,+ 12955,+ 565,+ 11884,+ 12449,+ 506,1281716,28019,1025889,1053908,227808
2020-12-31,+ 13397,+ 532,+ 10249,+ 10781,+ 2616,1295113,28551,1036138,1064689,230424
2021-01-01,+ 11008,+ 400,+ 10143,+ 10543,+ 465,1306121,28951,1046281,1075232,230889
2021-01-02,+ 6945,+ 102,+ 9155,+ 9257,-2 312,1313066,29053,1055436,1084489,228577
2021-01-03,+ 5739,+ 61,+ 7657,+ 7718,-1 979,1318805,29114,1063093,1092207,226598
2021-01-04,+ 4432,+ 42,+ 6461,+ 6503,-2 071,1323237,29156,1069554,1098710,224527
2021-01-05,+ 7624,+ 341,+ 9338,+ 9679,-2 055,1330861,29497,1078892,1108389,222472
2021-01-06,+ 14151,+ 553,+ 8852,+ 9405,+ 4746,1345012,30050,1087744,1117794,227218
2021-01-07,+ 12054,+ 186,+ 7872,+ 8058,+ 3996,1357066,30236,1095616,1125852,231214
2021-01-08,+ 8790,+ 332,+ 8983,+ 9315,-525,1365856,30568,1104599,1135167,230689
2021-01-09,+ 10548,+ 438,+ 9139,+ 9577,+ 971,1376404,31006,1113738,1144744,231660
2021-01-10,+ 9410,+ 177,+ 9580,+ 9757,-347,1385814,31183,1123318,1154501,231313
2021-01-11,+ 4622,+ 75,+ 7142,+ 7217,-2 595,1390436,31258,1130460,1161718,228718
2021-01-12,+ 5569,+ 326,+ 7666,+ 7992,-2 423,1396005,31584,1138126,1169710,226295
2021-01-13,+ 9053,+ 481,+ 8997,+ 9478,-425,1405058,32065,1147123,1179188,225870
2021-01-14,+ 9436,+ 381,+ 8700,+ 9081,+ 355,1414494,32446,1155823,1188269,226225
2021-01-15,+ 7795,+ 386,+ 8827,+ 9213,-1 418,1422289,32832,1164650,1197482,224807
2021-01-16,+ 7412,+ 369,+ 8437,+ 8806,-1 394,1429701,33201,1173087,1206288,223413
2021-01-17,+ 6055,+ 142,+ 8239,+ 8381,-2 326,1435756,33343,1181326,1214669,221087
2021-01-18,+ 3271,+ 52,+ 6393,+ 6445,-3 174,1439027,33395,1187719,1221114,217913
2021-01-19,+ 4835,+ 291,+ 9315,+ 9606,-4 771,1443862,33686,1197034,1230720,213142
2021-01-20,+ 6919,+ 443,+ 10325,+ 10768,-3 849,1450781,34129,1207359,1241488,209293
2021-01-21,+ 7152,+ 419,+ 8373,+ 8792,-1 640,1457933,34548,1215732,1250280,207653
2021-01-22,+ 6640,+ 346,-2 720,-2 374,+ 9014,1464573,34894,1213012,1247906,216667
2021-01-23,+ 6322,+ 346,+ 9770,+ 10116,-3 794,1470895,35240,1222782,1258022,212873
2021-01-24,+ 4683,+ 110,+ 7664,+ 7774,-3 091,1475578,35350,1230446,1265796,209782
2021-01-25,+ 2419,+ 38,+ 7290,+ 7328,-4 909,1477997,35388,1237736,1273124,204873
2021-01-26,+ 4604,+ 264,+ 5839,+ 6103,-1 499,1482601,35652,1243575,1279227,203374
2021-01-27,+ 6789,+ 389,+ 2692,+ 3081,+ 3708,1489390,36041,1246267,1282308,207082
2021-01-28,+ 7156,+ 389,+ 4625,+ 5014,+ 2142,1496546,36430,1250892,1287322,209224
2021-01-29,+ 6144,+ 336,+ 6460,+ 6796,-652,1502690,36766,1257352,1294118,208572
2021-01-30,+ 5864,+ 303,+ 7222,+ 7525,-1 661,1508554,37069,1264574,1301643,206911
2021-01-31,+ 4706,+ 98,+ 5893,+ 5991,-1 285,1513260,37167,1270467,1307634,205626
2021-02-01,+ 2503,+ 42,+ 6169,+ 6211,-3 708,1515763,37209,1276636,1313845,201918
2021-02-02,+ 4326,+ 253,+ 4760,+ 5013,-687,1520089,37462,1281396,1318858,201231
2021-02-03,+ 6802,+ 421,+ 2302,+ 2723,+ 4079,1526891,37883,1283698,1321581,205310
2021-02-04,+ 6496,+ 444,+ 4465,+ 4909,+ 1587,1533387,38327,1288163,1326490,206897
2021-02-05,+ 6053,+ 368,+ 6524,+ 6892,-839,1539440,38695,1294687,1333382,206058
2021-02-06,+ 5965,+ 283,+ 6884,+ 7167,-1 202,1545405,38978,1301571,1340549,204856
2021-02-07,+ 4728,+ 93,+ 5590,+ 5683,-955,1550133,39071,1307161,1346232,203901
2021-02-08,+ 2431,+ 45,+ 5695,+ 5740,-3 309,1552564,39116,1312856,1351972,200592
2021-02-09,+ 4029,+ 227,+ 4618,+ 4845,-816,1556593,39343,1317474,1356817,199776
2021-02-10,+ 6930,+ 360,+ 2161,+ 2521,+ 4409,1563523,39703,1319635,1359338,204185
2021-02-11,+ 7008,+ 456,+ 4466,+ 4922,+ 2086,1570531,40159,1324101,1364260,206271
2021-02-12,+ 6379,+ 247,+ 6026,+ 6273,+ 106,1576910,40406,1330127,1370533,206377
2021-02-13,+ 6586,+ 284,+ 6340,+ 6624,-38,1583496,40690,1336467,1377157,206339
2021-02-14,+ 5334,+ 98,+ 5564,+ 5662,-328,1588830,40788,1342031,1382819,206011
2021-02-15,+ 2543,+ 25,+ 5639,+ 5664,-3 121,1591373,40813,1347670,1388483,202890
2021-02-16,+ 5178,+ 196,+ 4773,+ 4969,+ 209,1596551,41009,1352443,1393452,203099
2021-02-17,+ 8694,+ 279,+ 2155,+ 2434,+ 6260,1605245,41288,1354598,1395886,209359
2021-02-18,+ 9073,+ 273,+ 4068,+ 4341,+ 4732,1614318,41561,1358666,1400227,214091
2021-02-19,+ 8777,+ 241,+ 6550,+ 6791,+ 1986,1623095,41802,1365216,1407018,216077
2021-02-20,+ 8510,+ 254,+ 7110,+ 7364,+ 1146,1631605,42056,1372326,1414382,217223
2021-02-21,+ 7038,+ 94,+ 6088,+ 6182,+ 856,1638643,42150,1378414,1420564,218079
2021-02-22,+ 3890,+ 17,+ 5959,+ 5976,-2 086,1642533,42167,1384373,1426540,215993
2021-02-23,+ 6310,+ 247,+ 5143,+ 5390,+ 920,1648843,42414,1389516,1431930,216913
2021-02-24,+ 12146,+ 372,+ 2465,+ 2837,+ 9309,1660989,42786,1391981,1434767,226222
2021-02-25,+ 12142,+ 286,+ 5361,+ 5647,+ 6495,1673131,43072,1397342,1440414,232717
2021-02-26,+ 11539,+ 259,+ 8210,+ 8469,+ 3070,1684670,43331,1405552,1448883,235787
2021-02-27,+ 12100,+ 303,+ 8909,+ 9212,+ 2888,1696770,43634,1414461,1458095,238675
2021-02-28,+ 10099,+ 114,+ 8368,+ 8482,+ 1617,1706869,43748,1422829,1466577,240292
2021-03-01,+ 4786,+ 24,+ 8032,+ 8056,-3 270,1711655,43772,1430861,1474633,237022
2021-03-02,+ 7937,+ 216,+ 7171,+ 7387,+ 550,1719592,43988,1438032,1482020,237572
2021-03-03,+ 15698,+ 309,+ 3447,+ 3756,+ 11942,1735290,44297,1441479,1485776,249514
2021-03-04,+ 15250,+ 289,+ 7140,+ 7429,+ 7821,1750540,44586,1448619,1493205,257335
2021-03-05,+ 15829,+ 263,+ 10945,+ 11208,+ 4621,1766369,44849,1459564,1504413,261956
2021-03-06,+ 14857,+ 245,+ 12044,+ 12289,+ 2568,1781226,45094,1471608,1516702,264524
2021-03-07,+ 13574,+ 126,+ 10960,+ 11086,+ 2488,1794800,45220,1482568,1527788,267012
2021-03-08,+ 6170,+ 32,+ 11515,+ 11547,-5 377,1800970,45252,1494083,1539335,261635
2021-03-09,+ 9954,+ 282,+ 9270,+ 9552,+ 402,1810924,45534,1503353,1548887,262037
2021-03-10,+ 17260,+ 398,+ 4552,+ 4950,+ 12310,1828184,45932,1507905,1553837,274347
2021-03-11,+ 21045,+ 375,+ 8635,+ 9010,+ 12035,1849229,46307,1516540,1562847,286382
2021-03-12,+ 18775,+ 351,+ 13944,+ 14295,+ 4480,1868004,46658,1530484,1577142,290862
2021-03-13,+ 21049,+ 343,+ 15667,+ 16010,+ 5039,1889053,47001,1546151,1593152,295901
2021-03-14,+ 17259,+ 110,+ 14076,+ 14186,+ 3073,1906312,47111,1560227,1607338,298974
2021-03-15,+ 10896,+ 28,+ 14228,+ 14256,-3 360,1917208,47139,1574455,1621594,295614
2021-03-16,+ 14396,+ 372,+ 12709,+ 13081,+ 1315,1931604,47511,1587164,1634675,296929
2021-03-17,+ 25052,+ 453,+ 6001,+ 6454,+ 18598,1956656,47964,1593165,1641129,315527
2021-03-18,+ 27278,+ 356,+ 10667,+ 11023,+ 16255,1983934,48320,1603832,1652152,331782
2021-03-19,+ 25998,+ 419,+ 16440,+ 16859,+ 9139,2009932,48739,1620272,1669011,340921
2021-03-20,+ 26405,+ 349,+ 19778,+ 20127,+ 6278,2036337,49088,1640050,1689138,347199
2021-03-21,+ 21849,+ 140,+ 16777,+ 16917,+ 4932,2058186,49228,1656827,1706055,352131
2021-03-22,+ 14578,+ 65,+ 19181,+ 19246,-4 668,2072764,49293,1676008,1725301,347463
2021-03-23,+ 16741,+ 396,+ 17867,+ 18263,-1 522,2089505,49689,1693875,1743564,345941
2021-03-24,+ 29978,+ 575,+ 13971,+ 14546,+ 15432,2119483,50264,1707846,1758110,361373
2021-03-25,+ 34151,+ 520,+ 15010,+ 15530,+ 18621,2153634,50784,1722856,1773640,379994
2021-03-26,+ 35143,+ 443,+ 24367,+ 24810,+ 10333,2188777,51227,1747223,1798450,390327
2021-03-27,+ 31757,+ 448,+ 27845,+ 28293,+ 3464,2220534,51675,1775068,1826743,393791
2021-03-28,+ 29253,+ 131,+ 23854,+ 23985,+ 5268,2249787,51806,1798922,1850728,399059
2021-03-29,+ 16965,+ 48,+ 25509,+ 25557,-8 592,2266752,51854,1824431,1876285,390467
2021-03-30,+ 20870,+ 461,+ 23768,+ 24229,-3 359,2287622,52315,1848199,1900514,387108
2021-03-31,+ 32874,+ 653,+ 13726,+ 14379,+ 18495,2320496,52968,1861925,1914893,405603
2021-04-01,+ 35251,+ 621,+ 20254,+ 20875,+ 14376,2355747,53589,1882179,1935768,419979
2021-04-02,+ 30546,+ 497,+ 29070,+ 29567,+ 979,2386293,54086,1911249,1965335,420958
2021-04-03,+ 28073,+ 571,+ 34745,+ 35316,-7 243,2414366,54657,1945994,2000651,413715
2021-04-04,+ 22947,+ 204,+ 32439,+ 32643,-9 696,2437313,54861,1978433,2033294,404019
2021-04-05,+ 9902,+ 64,+ 30875,+ 30939,-21 037,2447215,54925,2009308,2064233,382982
2021-04-06,+ 8245,+ 60,+ 27269,+ 27329,-19 084,2455460,54985,2036577,2091562,363898
2021-04-07,+ 14910,+ 638,+ 18120,+ 18758,-3 848,2470370,55623,2054697,2110320,360050
2021-04-08,+ 27887,+ 954,+ 21807,+ 22761,+ 5126,2498257,56577,2076504,2133081,365176
2021-04-09,+ 28487,+ 768,+ 31272,+ 32040,-3 553,2526744,57345,2107776,2165121,361623
2021-04-10,+ 24856,+ 749,+ 35289,+ 36038,-11 182,2551600,58094,2143065,2201159,350441
2021-04-11,+ 21703,+ 245,+ 28236,+ 28481,-6 778,2573303,58339,2171301,2229640,343663
2021-04-12,+ 12013,+ 61,+ 26481,+ 26542,-14 529,2585316,58400,2197782,2256182,329134
2021-04-13,+ 13227,+ 644,+ 21873,+ 22517,-9 290,2598543,59044,2219655,2278699,319844
2021-04-14,+ 21283,+ 803,+ 10146,+ 10949,+ 10334,2619826,59847,2229801,2289648,330178
2021-04-15,+ 21130,+ 682,+ 8837,+ 9519,+ 11611,2640956,60529,2238638,2299167,341789
2021-04-16,+ 17847,+ 595,+ 16594,+ 17189,+ 658,2658803,61124,2255232,2316356,342447
2021-04-17,+ 15763,+ 616,+ 29989,+ 30605,-14 842,2674566,61740,2285221,2346961,327605
2021-04-18,+ 12153,+ 207,+ 25924,+ 26131,-13 978,2686719,61947,2311145,2373092,313627
2021-04-19,+ 7283,+ 101,+ 23833,+ 23934,-16 651,2694002,62048,2334978,2397026,296976
2021-04-20,+ 9246,+ 601,+ 19674,+ 20275,-11 029,2703248,62649,2354652,2417301,285947
2021-04-21,+ 13926,+ 740,+ 11578,+ 12318,+ 1608,2717174,63389,2366230,2429619,287555
2021-04-22,+ 12762,+ 694,+ 14557,+ 15251,-2 489,2729936,64083,2380787,2444870,285066
2021-04-23,+ 10858,+ 539,+ 20670,+ 21209,-10 351,2740794,64622,2401457,2466079,274715
2021-04-24,+ 9505,+ 513,+ 21202,+ 21715,-12 210,2750299,65135,2422659,2487794,262505
2021-04-25,+ 7219,+ 193,+ 16753,+ 16946,-9 727,2757518,65328,2439412,2504740,252778
2021-04-26,+ 3451,+ 22,+ 15643,+ 15665,-12 214,2760969,65350,2455055,2520405,240564
2021-04-27,+ 5709,+ 460,+ 11981,+ 12441,-6 732,2766678,65810,2467036,2532846,233832
2021-04-28,+ 8895,+ 636,+ 6938,+ 7574,+ 1321,2775573,66446,2473974,2540420,235153
2021-04-29,+ 8427,+ 541,+ 9806,+ 10347,-1 920,2784000,66987,2483780,2550767,233233
2021-04-30,+ 6796,+ 429,+ 13030,+ 13459,-6 663,2790796,67416,2496810,2564226,226570
2021-05-01,+ 6469,+ 423,+ 14048,+ 14471,-8 002,2797265,67839,2510858,2578697,218568
2021-05-02,+ 4612,+ 144,+ 10110,+ 10254,-5 642,2801877,67983,2520968,2588951,212926
2021-05-03,+ 2525,+ 37,+ 8876,+ 8913,-6 388,2804402,68020,2529844,2597864,206538
2021-05-04,+ 2296,+ 28,+ 7087,+ 7115,-4 819,2806698,68048,2536931,2604979,201719
2021-05-05,+ 3896,+ 349,+ 3753,+ 4102,-206,2810594,68397,2540684,2609081,201513
2021-05-06,+ 6431,+ 510,+ 6067,+ 6577,-146,2817025,68907,2546751,2615658,201367
2021-05-07,+ 6047,+ 453,+ 8308,+ 8761,-2 714,2823072,69360,2555059,2624419,198653
2021-05-08,+ 4765,+ 421,+ 8020,+ 8441,-3 676,2827837,69781,2563079,2632860,194977
2021-05-09,+ 3852,+ 147,+ 6422,+ 6569,-2 717,2831689,69928,2569501,2639429,192260
2021-05-10,+ 2032,+ 22,+ 6533,+ 6555,-4 523,2833721,69950,2576034,2645984,187737
2021-05-11,+ 3098,+ 319,+ 4211,+ 4530,-1 432,2836819,70269,2580245,2650514,186305
2021-05-12,+ 4255,+ 343,+ 2274,+ 2617,+ 1638,2841074,70612,2582519,2653131,187943
2021-05-13,+ 3730,+ 342,+ 2232,+ 2574,+ 1156,2844804,70954,2584751,2655705,189099
2021-05-14,+ 3288,+ 289,+ 4526,+ 4815,-1 527,2848092,71243,2589277,2660520,187572
2021-05-15,+ 2896,+ 298,+ 6358,+ 6656,-3 760,2850988,71541,2595635,2667176,183812
2021-05-16,+ 2167,+ 55,+ 5339,+ 5394,-3 227,2853155,71596,2600974,2672570,180585
2021-05-17,+ 1109,+ 11,+ 4729,+ 4740,-3 631,2854264,71607,2605703,2677310,176954
