Data,Dobowa liczba wykonanych testów,Dobowa liczba osób z wynikiem pozywnym,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów)
2020-04-29,13500,366,12 473,"2,94%"
2020-04-30,16601,324,12 775,"2,81%"
2020-05-01,11385,270,12 431,"2,83%"
2020-05-02,9935,318,12 188,"2,89%"
2020-05-03,7856,244,12 278,"2,61%"
2020-05-04,10466,305,11 932,"2,66%"
2020-05-05,16198,405,12 277,"2,68%"
2020-05-06,15526,251,12 567,"2,52%"
2020-05-07,17512,302,12 697,"2,49%"
2020-05-08,17180,310,13 525,"2,41%"
2020-05-09,16218,311,14 422,"2,23%"
2020-05-10,14312,385,15 345,"2,17%"
2020-05-11,16560,355,16 215,"2,06%"
2020-05-12,20346,501,16 808,"2,05%"
2020-05-13,26235,407,18 338,"2,04%"
2020-05-14,21919,381,18 967,"2,04%"
2020-05-15,25118,334,20 101,"1,98%"
2020-05-16,18855,210,20 478,"1,86%"
2020-05-17,15797,352,20 690,"1,80%"
2020-05-18,17178,334,20 778,"1,77%"
2020-05-19,21637,489,20 963,"1,74%"
2020-05-20,22369,414,20 410,"1,78%"
2020-05-21,22341,396,20 471,"1,79%"
2020-05-22,31368,459,21 364,"1,80%"
2020-05-23,16502,398,21 027,"1,99%"
2020-05-24,12135,204,20 504,"1,91%"
2020-05-25,22177,427,21 218,"1,91%"
2020-05-26,23021,436,21 416,"1,86%"
2020-05-27,21958,297,21 357,"1,79%"
2020-05-28,26724,364,21 984,"1,73%"
2020-05-29,25613,412,21 161,"1,75%"
2020-05-30,16477,310,21 158,"1,67%"
2020-05-31,15974,301,21 706,"1,70%"
2020-06-01,14435,284,20 600,"1,71%"
2020-06-02,21222,274,20 343,"1,62%"
2020-06-03,29427,281,21 410,"1,56%"
2020-06-04,18333,351,20 212,"1,64%"
2020-06-05,23344,492,19 887,"1,71%"
2020-06-06,18115,580,20 121,"1,90%"
2020-06-07,14404,531,19 897,"2,16%"
2020-06-08,17053,585,20 271,"2,37%"
2020-06-09,22056,303,20 390,"2,38%"
2020-06-10,19130,533,18 919,"2,64%"
2020-06-11,21944,376,19 435,"2,61%"
2020-06-12,18105,440,18 687,"2,66%"
2020-06-13,19654,375,18 907,"2,48%"
2020-06-14,13282,396,18 746,"2,37%"
2020-06-15,19109,407,19 040,"2,19%"
2020-06-16,25966,506,19 599,"2,27%"
2020-06-17,23852,314,20 273,"2,06%"
2020-06-18,26725,301,20 956,"1,98%"
2020-06-19,22723,304,21 616,"1,82%"
2020-06-20,21443,311,21 871,"1,76%"
2020-06-21,14193,296,22 002,"1,63%"
2020-06-22,21171,300,22 296,"1,53%"
2020-06-23,22441,294,21 793,"1,43%"
2020-06-24,25196,298,21 985,"1,42%"
2020-06-25,22287,276,21 351,"1,43%"
2020-06-26,22832,319,21 366,"1,44%"
2020-06-27,24031,193,21 736,"1,35%"
2020-06-28,5547,247,20 501,"1,69%"
2020-06-29,21866,239,20 600,"1,64%"
2020-06-30,25104,382,20 980,"1,67%"
2020-07-01,23183,371,20 693,"1,73%"
2020-07-02,27804,259,21 481,"1,69%"
2020-07-03,22663,314,21 457,"1,68%"
2020-07-04,19210,231,20 768,"1,74%"
2020-07-05,16294,205,22 303,"1,28%"
2020-07-06,20700,257,22 137,"1,31%"
2020-07-07,20209,277,21 438,"1,28%"
2020-07-08,23855,262,21 534,"1,21%"
2020-07-09,24203,265,21 019,"1,24%"
2020-07-10,35012,305,22 783,"1,16%"
2020-07-11,17969,370,22 606,"1,28%"
2020-07-12,15753,299,22 529,"1,38%"
2020-07-13,21904,267,22 701,"1,37%"
2020-07-14,25323,264,23 431,"1,33%"
2020-07-15,25497,333,23 666,"1,36%"
2020-07-16,26254,353,23 959,"1,39%"
2020-07-17,24546,339,22 464,"1,46%"
2020-07-18,19383,358,22 666,"1,43%"
2020-07-19,15464,279,22 624,"1,42%"
2020-07-20,20266,399,22 390,"1,53%"
2020-07-21,25511,380,22 417,"1,59%"
2020-07-22,27190,418,22 659,"1,62%"
2020-07-23,24280,458,22 377,"1,70%"
2020-07-24,26239,584,22 619,"1,82%"
2020-07-25,20300,443,22 750,"1,87%"
2020-07-26,18812,337,23 228,"1,87%"
2020-07-27,22691,502,23 575,"1,90%"
2020-07-28,29952,512,24 209,"1,93%"
2020-07-29,23064,615,23 620,"2,10%"
2020-07-30,35127,657,25 169,"2,09%"
2020-07-31,28385,658,25 476,"2,11%"
2020-08-01,23874,548,25 986,"2,12%"
2020-08-02,17783,575,25 839,"2,33%"
2020-08-03,25829,680,26 288,"2,39%"
2020-08-04,33647,640,26 816,"2,42%"
2020-08-05,28650,726,27 614,"2,40%"
2020-08-06,32676,809,27 263,"2,48%"
2020-08-07,21900,843,26 337,"2,70%"
2020-08-08,20374,624,25 837,"2,81%"
2020-08-09,14924,619,25 429,"2,94%"
2020-08-10,23142,551,25 045,"2,91%"
2020-08-11,24079,715,23 678,"3,06%"
2020-08-12,26131,811,23 318,"3,14%"
2020-08-13,26726,832,22 468,"3,23%"
2020-08-14,24632,771,22 858,"3,13%"
2020-08-15,16613,594,22 321,"3,20%"
