---CORRELATION MATRIX---

                                                   Vaccination.ALL  Vaccination.DAILY  Vaccination.COMPLETED  Vaccination.COMPLETED_PERCENT  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.INACTIVE_CASES_SHIFT  CovidGrow.ACTIVE_CASES_SHIFT  CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER  CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER  CovidGrow.SUMMED_RECOVERIES
37         0.324106           0.395776               0.252874                       0.252966                         0.462463                        0.270212                                 0.502899                                           0.451877                0.568378                   0.265206                 0.576406                    0.363713                        0.318068                        0.325829                     -0.049426                                   0.574804                                 0.519168                     0.574725
38         0.310730           0.294754               0.237674                       0.237792                         0.447651                        0.254108                                 0.495928                                           0.444246                0.558227                   0.256261                 0.565159                    0.336887                        0.311441                        0.319678                     -0.096192                                   0.564175                                 0.511651                     0.564113
39         0.297438           0.253928               0.222377                       0.222489                         0.441640                        0.251993                                 0.489235                                           0.437234                0.548103                   0.258442                 0.553970                    0.351821                        0.305898                        0.313817                     -0.092162                                   0.553549                                 0.504374                     0.553504
40         0.284071           0.290023               0.207031                       0.207116                         0.442295                        0.256066                                 0.482242                                           0.430885                0.537975                   0.259256                 0.542725                    0.379327                        0.308248                        0.315264                     -0.063056                                   0.542939                                 0.497035                     0.542913
41         0.270739           0.360612               0.191704                       0.191779                         0.451809                        0.265481                                 0.475220                                           0.425262                0.527857                   0.266854                 0.531424                    0.443269                        0.312444                        0.318569                      0.041332                                   0.532360                                 0.489624                     0.532355
42         0.257858           0.396842               0.177167                       0.177228                         0.458570                        0.272120                                 0.468186                                           0.420317                0.517763                   0.272960                 0.520100                    0.472837                        0.314344                        0.319926                      0.155654                                   0.521810                                 0.482191                     0.521828
43         0.245885           0.378657               0.164184                       0.164237                         0.441090                        0.259291                                 0.461067                                           0.415993                0.507696                   0.259391                 0.508787                    0.415563                        0.308800                        0.315087                      0.066048                                   0.511275                                 0.474803                     0.511317
44         0.234713           0.324921               0.152587                       0.152630                         0.416790                        0.238404                                 0.453898                                           0.412306                0.497660                   0.237887                 0.497492                    0.334336                        0.307296                        0.314746                     -0.072528                                   0.500728                                 0.467705                     0.500792
45         0.223790           0.243833               0.141439                       0.141505                         0.403976                        0.228563                                 0.446796                                           0.409176                0.487659                   0.231264                 0.486255                    0.315163                        0.301865                        0.309912                     -0.124441                                   0.490156                                 0.461087                     0.490240
46         0.212939           0.197867               0.130388                       0.130488                         0.396534                        0.227868                                 0.439771                                           0.406364                0.477676                   0.235785                 0.475064                    0.329598                        0.299429                        0.306950                     -0.107933                                   0.479584                                 0.454669                     0.479687
47         0.202040           0.213534               0.119348                       0.119440                         0.397159                        0.232637                                 0.432824                                           0.403694                0.467672                   0.238216                 0.463826                    0.356195                        0.304082                        0.310661                     -0.077360                                   0.469024                                 0.448090                     0.469148
48         0.191229           0.269270               0.108523                       0.108608                         0.404815                        0.243132                                 0.425910                                           0.400857                0.457657                   0.247420                 0.452549                    0.415500                        0.307985                        0.313709                      0.024184                                   0.458490                                 0.441295                     0.458637
49         0.180750           0.311101               0.098441                       0.098522                         0.409974                        0.251203                                 0.419182                                           0.397810                0.447638                   0.256078                 0.441296                    0.453510                        0.309382                        0.314921                      0.103549                                   0.447981                                 0.434307                     0.448151
50         0.170800           0.312888               0.089313                       0.089398                         0.394092                        0.242059                                 0.412731                                           0.394532                0.437615                   0.245571                 0.430058                    0.386629                        0.304682                        0.310434                      0.033970                                   0.437480                                 0.427194                     0.437672
51         0.161386           0.270358               0.080833                       0.080912                         0.372312                        0.225285                                 0.406627                                           0.390935                0.427596                   0.227821                 0.418909                    0.303306                        0.306759                        0.313392                     -0.085533                                   0.426969                                 0.420163                     0.427180
52         0.152365           0.204773               0.072582                       0.072640                         0.360887                        0.218513                                 0.400908                                           0.386930                0.417587                   0.223225                 0.407849                    0.286086                        0.303138                        0.310288                     -0.128659                                   0.416430                                 0.413448                     0.416657
53         0.143410           0.161648               0.064451                       0.064505                         0.354851                        0.219407                                 0.395549                                           0.382552                0.407580                   0.227232                 0.396848                    0.303801                        0.299555                        0.306070                     -0.125525                                   0.405889                                 0.406826                     0.406130
54         0.134438           0.169010               0.056453                       0.056494                         0.354708                        0.222584                                 0.390198                                           0.377828                0.397547                   0.230231                 0.385799                    0.327500                        0.306247                        0.311693                     -0.070881                                   0.395358                                 0.400013                     0.395616
55         0.125497           0.214036               0.048707                       0.048737                         0.361903                        0.232508                                 0.384840                                           0.372833                0.387480                   0.238704                 0.374694                    0.375382                        0.307896                        0.312849                      0.014416                                   0.384851                                 0.392823                     0.385128
56         0.116747           0.247605               0.041466                       0.041467                         0.366627                        0.240791                                 0.379427                                           0.367643                0.377389                   0.246882                 0.363613                    0.398873                        0.305243                        0.309699                      0.077193                                   0.374367                                 0.385300                     0.374663
